index,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
2685,48,329,Midland,Texas,TX,6,77.1,73.5,77.3,76.5,869.9,829.9,1032.7,898.6,837.6,902.2,13.1,12.7,21.7,17.1,8.6,17.6,5.1,5.2,7.6,6,3.8,6.5
2686,48,331,Milam,Texas,TX,76,75.7,72.2,75.5,76.5,905.2,992.4,1133.0,898.6,871.6,938.8,-1111.1,17.4,31.8,17.1,-1111.1,-1111.1,-1111.1,5.3,8.8,6,-1111.1,-1111.1
2687,48,333,Mills,Texas,TX,87,76.0,75.4,77.5,76.5,843.9,745.0,995.9,898.6,778.4,909.4,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
2688,48,335,Mitchell,Texas,TX,70,76.2,73.3,77.0,76.5,1040.8,914.4,1058.1,898.6,981.4,1100.1,-1111.1,17.6,32.4,17.1,-1111.1,-1111.1,-1111.1,5.0,9.0,6,-1111.1,-1111.1
2689,48,337,Montague,Texas,TX,62,75.0,74.1,77.0,76.5,1090.3,843.8,1037.1,898.6,1050.2,1130.4,-1111.1,14.4,33.1,17.1,-1111.1,-1111.1,-1111.1,4.2,7.9,6,-1111.1,-1111.1
2690,48,339,Montgomery,Texas,TX,4,75.9,75.7,78.9,76.5,933.2,748.9,941.9,898.6,909.7,956.8,19.6,12.3,18.3,17.1,14.4,24.7,5.6,5.5,6.5,6,4.3,6.8
2691,48,341,Moore,Texas,TX,39,77.3,74.3,78.1,76.5,885.0,801.0,1014.9,898.6,838.3,931.6,-1111.1,10.9,26.6,17.1,-1111.1,-1111.1,-1111.1,4.2,8.6,6,-1111.1,-1111.1
2692,48,343,Morris,Texas,TX,43,73.5,74.8,77.6,76.5,1081.1,823.7,1017.6,898.6,1030.5,1131.8,-1111.1,14.8,31.2,17.1,-1111.1,-1111.1,-1111.1,4.8,8.4,6,-1111.1,-1111.1
2693,48,345,Motley,Texas,TX,87,76.3,75.4,77.5,76.5,893.9,745.0,995.9,898.6,768.6,1019.2,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
2694,48,347,Nacogdoches,Texas,TX,8,75.2,72.2,75.6,76.5,938.8,911.7,1136.1,898.6,903.0,974.6,22.4,16.5,29.4,17.1,14.6,30.1,7.6,5.5,8.7,6,5.3,10.0
2695,48,349,Navarro,Texas,TX,36,74.6,71.6,75.4,76.5,1007.4,922.9,1158.2,898.6,968.4,1046.4,-1111.1,19.2,27.7,17.1,-1111.1,-1111.1,7.0,5.6,8.2,6,4.1,9.8
2696,48,351,Newton,Texas,TX,66,74.6,71.9,77.0,76.5,944.1,868.3,1244.2,898.6,894.6,993.7,-1111.1,14.0,33.7,17.1,-1111.1,-1111.1,-1111.1,4.0,8.5,6,-1111.1,-1111.1
2697,48,353,Nolan,Texas,TX,75,76.0,72.1,76.4,76.5,991.3,908.9,1153.6,898.6,946.7,1036.0,-1111.1,18.5,33.0,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
2698,48,355,Nueces,Texas,TX,5,76.3,73.5,77.8,76.5,896.4,792.0,1030.7,898.6,876.0,916.7,18.3,13.2,21.1,17.1,14.6,22.1,6.6,5.3,7.0,6,5.4,7.7
2699,48,357,Ochiltree,Texas,TX,39,75.9,74.3,78.1,76.5,991.4,801.0,1014.9,898.6,921.9,1060.9,-1111.1,10.9,26.6,17.1,-1111.1,-1111.1,-1111.1,4.2,8.6,6,-1111.1,-1111.1
2700,48,359,Oldham,Texas,TX,80,77.3,75.8,80.8,76.5,1036.9,611.2,988.8,898.6,885.6,1188.2,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
2701,48,361,Orange,Texas,TX,23,73.7,73.7,77.3,76.5,1071.7,855.1,1103.9,898.6,1039.6,1103.8,25.6,13.7,24.0,17.1,18.0,33.2,8.3,4.8,7.7,6,6.0,10.5
2702,48,363,Palo Pinto,Texas,TX,36,73.7,71.6,75.4,76.5,1045.1,922.9,1158.2,898.6,995.2,1095.1,-1111.1,19.2,27.7,17.1,-1111.1,-1111.1,7.3,5.6,8.2,6,4.3,10.3
2703,48,365,Panola,Texas,TX,43,76.3,74.8,77.6,76.5,926.5,823.7,1017.6,898.6,890.1,962.9,-1111.1,14.8,31.2,17.1,-1111.1,-1111.1,6.9,4.8,8.4,6,4.2,9.7
2704,48,367,Parker,Texas,TX,45,76.1,76.1,78.9,76.5,985.0,755.7,961.4,898.6,952.7,1017.3,18.1,8.8,18.0,17.1,12.0,24.1,6.4,4.2,6.8,6,4.8,8.0
2705,48,369,Parmer,Texas,TX,42,76.8,73.3,77.8,76.5,831.1,827.1,1110.4,898.6,775.2,886.9,-1111.1,13.0,29.3,17.1,-1111.1,-1111.1,-1111.1,4.7,8.2,6,-1111.1,-1111.1
2706,48,371,Pecos,Texas,TX,86,76.8,66.6,77.8,76.5,875.4,804.8,1128.9,898.6,824.9,925.9,-1111.1,11.1,36.0,17.1,-1111.1,-1111.1,-1111.1,3.9,9.9,6,-1111.1,-1111.1
2707,48,373,Polk,Texas,TX,49,73.8,73.9,77.6,76.5,1039.6,802.3,1046.3,898.6,999.9,1079.3,27.1,14.1,27.1,17.1,17.8,36.4,6.2,5.4,8.4,6,4.0,8.4
2708,48,375,Potter,Texas,TX,7,72.9,72.7,78.5,76.5,1114.5,782.1,1107.4,898.6,1078.4,1150.6,20.5,15.5,25.1,17.1,14.5,26.4,7.2,5.4,7.4,6,5.7,8.7
2709,48,377,Presidio,Texas,TX,88,77.9,74.8,78.4,76.5,616.3,759.5,1056.9,898.6,559.6,673.0,-1111.1,11.5,32.4,17.1,-1111.1,-1111.1,-1111.1,3.8,10.3,6,-1111.1,-1111.1
2710,48,379,Rains,Texas,TX,64,75.1,74.0,76.9,76.5,949.4,869.0,1083.5,898.6,889.5,1009.3,-1111.1,12.2,30.3,17.1,-1111.1,-1111.1,-1111.1,5.2,9.5,6,-1111.1,-1111.1
2711,48,381,Randall,Texas,TX,45,78.8,76.1,78.9,76.5,796.0,755.7,961.4,898.6,770.1,822.0,18.0,8.8,18.0,17.1,12.2,23.9,6.5,4.2,6.8,6,4.9,8.2
2712,48,383,Reagan,Texas,TX,80,76.9,75.8,80.8,76.5,1097.0,611.2,988.8,898.6,968.7,1225.4,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
2713,48,385,Real,Texas,TX,87,76.8,75.4,77.5,76.5,920.3,745.0,995.9,898.6,825.9,1014.8,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
2714,48,387,Red River,Texas,TX,70,74.7,73.3,77.0,76.5,1043.0,914.4,1058.1,898.6,997.5,1088.5,-1111.1,17.6,32.4,17.1,-1111.1,-1111.1,-1111.1,5.0,9.0,6,-1111.1,-1111.1
2715,48,389,Reeves,Texas,TX,86,77.9,66.6,77.8,76.5,900.7,804.8,1128.9,898.6,847.4,954.1,-1111.1,11.1,36.0,17.1,-1111.1,-1111.1,-1111.1,3.9,9.9,6,-1111.1,-1111.1
2716,48,391,Refugio,Texas,TX,74,75.2,73.3,76.9,76.5,922.8,854.9,1097.1,898.6,862.0,983.5,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2717,48,393,Roberts,Texas,TX,78,75.9,75.7,80.8,76.5,1030.6,565.5,1036.9,898.6,834.0,1259.5,-1111.1,4.0,21.2,17.1,-1111.1,-1111.1,-1111.1,3.2,7.5,6,-1111.1,-1111.1
